,,,,,,,,Carrocería,,,,,,,,,,,,,,,,,,,Motor,,,,,,,,,,,,,,Transmisión y control,,,,Prestaciones y consumos homologados,,,,,,,,,Suspensión y frenos,,,,
64428,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,2.0 TFSI S-tronic (200 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1100/975,,,,1370,,1031,281,560,1930,3730,Gasolina,1984,200,de 5 100 à 6 000,280,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 800 à 5 000,hay,Robot,Frente,"10,7",6,"98, 95",236,"10,6","7,7","6,9",de 520 à 920,EURO IV,55,6,Discos ventilados,Discos,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193113,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,2.0 TFSI S-tronic (200 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1100/1005,,,,1410,,1100,370,560,1970,3770,Gasolina,1984,200,de 5 100 à 6 000,280,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 800 à 5 000,hay,Robot,Frente,"10,7",6,"98, 95",236,"10,8","7,9",7,de 510 à 890,EURO IV,55,"6,2",Discos ventilados,Discos,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
64429,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,2.0 TFSI S-tronic (200 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1100/1005,,,,1410,,1100,370,560,1970,3770,Gasolina,1984,200,de 5 100 à 6 000,280,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 800 à 5 000,hay,Robot,Frente,"10,7",6,"98, 95",236,"10,6","7,7",7,de 520 à 920,EURO IV,55,6,Discos ventilados,Discos,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193108,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,2.0 TFSI S-tronic (200 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1100/1080,,,,1410,,1120,370,560,1970,3770,Gasolina,1984,200,de 5 100 à 6 000,280,La inyección directa,Inline,4,Turbo,"82,5","92,8",4,de 1 800 à 5 000,hay,Robot,Frente,"10,7",6,"98, 95",236,"10,6","7,7",7,de 520 à 920,EURO IV,55,6,Discos ventilados,Discos,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
64440,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 MT Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1130/1125,,,,1535,,1052,302,560,2095,3895,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Mecánica,Plug completa Drive,"10,7",6,"98, 95",250,"14,8","10,6","6,4",de 410 à 730,EURO IV,60,"8,2",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
64441,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 MT Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1130/1125,,,,1535,,1032,302,560,2095,3895,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Mecánica,Plug completa Drive,"10,7",6,"98, 95",250,"14,7","10,5","6,4",de 410 à 740,EURO IV,60,"8,1",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193119,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 MT Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1130/1125,,,,1535,,1032,302,560,2095,3895,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Mecánica,Plug completa Drive,"10,7",6,"98, 95",250,15,"10,8","6,4",de 400 à 710,EURO IV,60,"8,4",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193121,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 S-tronic Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1150/1120,,,,1565,,1032,302,560,2125,3925,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Robot,Plug completa Drive,"10,7",6,"98, 95",250,"13,2","9,7","6,3",de 450 à 780,EURO IV,60,"7,7",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193122,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 S-tronic Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1150/1120,,,,1565,,1052,302,560,2125,3925,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Robot,Plug completa Drive,"10,7",6,"98, 95",250,"13,9","9,9","6,3",de 430 à 790,EURO IV,60,"7,6",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
193120,Audi,A3,8P/8PA [restyling],2004,2008,Sportback hatchback 5-puertas,3.2 S-tronic Quattro (250 CV),Hatchback,5,4286,1765,1423,2578,1534,1507,1150/1120,,,,1565,,1032,302,560,2125,3925,Gasolina,3189,250,à 6 300,320,Inyección multipunto,V-twin,6,,84,"95,9",4,de 2 500 à 3 000,,Robot,Plug completa Drive,"10,7",6,"98, 95",250,"13,1","9,6","6,3",de 460 à 790,EURO IV,60,"7,6",Discos ventilados,Discos ventilados,"Puntal MacPherson, Barra estabilizadora","multi-link, Barra estabilizadora",
25304,Audi,A3,8V,2012,2016,Cabriolé,1.4 TFSI MT (125 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1400,,320,320,425,1845,3265,Gasolina,1395,125,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Mecánica,Frente,"10,9",6,95,211,"6,7","5,3","10,2",de 750 à 1 110,EURO VI,50,"4,5",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Amortiguadores","Independiente, multi-link, Amortiguadores",
25305,Audi,A3,8V,2012,2016,Cabriolé,1.4 TFSI MT (140 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1440,,320,320,425,1865,3565,Gasolina,1395,140,à 5 000,250,La inyección directa,Inline,4,Turbo,,,4,de 1 500 à 3 500,hay,Mecánica,Frente,"10,9",6,95,218,"6,1",5,"9,1",de 820 à 1 160,EURO VI,50,"4,3",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
25302,Audi,A3,8V,2012,2016,Cabriolé,1.4 TFSI S tronic (125 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1440,,320,320,425,1865,3265,Gasolina,1395,125,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Robot,Frente,"10,9",7,95,211,"6,4","5,1","10,2",de 780 à 1 140,EURO VI,50,"4,4",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Amortiguadores","Independiente, multi-link, Amortiguadores",
25303,Audi,A3,8V,2012,2016,Cabriolé,1.4 TFSI S tronic (140 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1455,,320,320,425,1880,,Gasolina,1395,140,à 5 000,250,La inyección directa,Inline,4,Turbo,,,4,de 1 500 à 3 500,hay,Robot,Frente,"10,9",7,95,218,6,"4,9","9,1",de 830 à 1 160,EURO VI,50,"4,3",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
58751,Audi,A3,8V,2012,2016,Cabriolé,1.6 TDI MT (110 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1495,,320,320,425,1920,,Diesel,1598,110,de 3 200 à 4 000,250,Common Rail,Inline,4,Turbo,,,4,de 1 500 à 3 000,hay,Mecánica,Frente,"10,9",6,Diesel,200,"4,7","3,9","11,4",de 1 060 à 1 430,EURO VI,50,"3,5",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
58752,Audi,A3,8V,2012,2016,Cabriolé,1.8 TFSI MT (180 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,,,,1480,,320,320,425,1905,,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Mecánica,Frente,"10,9",6,95,242,"7,8",6,"7,7",de 640 à 1 000,EURO VI,50,5,Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Amortiguadores","Independiente, multi-link, Amortiguadores",
25306,Audi,A3,8V,2012,2016,Cabriolé,1.8 TFSI S tronic (180 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1505,,320,320,425,1930,3730,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Robot,Frente,"10,9",7,95,242,"7,3","5,8","7,8",de 680 à 1 040,EURO VI,50,"4,8",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Amortiguadores","Independiente, multi-link, Amortiguadores",
25307,Audi,A3,8V,2012,2016,Cabriolé,1.8 TFSI S tronic quattro (180 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1615,,285,285,425,2040,3840,Gasolina,1798,180,de 5 100 à 6 200,280,La inyección directa,Inline,4,Turbo,,,4,de 1 350 à 4 500,hay,Robot,tracción en las cuatro ruedas,"10,9",6,95,234,"8,4","6,6","7,6",de 650 à 980,EURO VI,55,"5,6",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Amortiguadores","Independiente, multi-link, Amortiguadores",
25308,Audi,A3,8V,2012,2016,Cabriolé,2.0 TDI MT (150 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1535,,320,320,425,1960,3760,Diesel,1968,150,de 3 500 à 4 000,340,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,Frente,"10,9",6,Diesel,224,"5,1","4,2","8,9",de 980 à 1 350,EURO VI,50,"3,7",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
58755,Audi,A3,8V,2012,2016,Cabriolé,2.0 TDI MT (184 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1545,,320,320,425,1970,,Diesel,1968,184,à 3 500,380,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 250,hay,Mecánica,Frente,"10,9",6,Diesel,241,"5,3","4,3","7,9",de 940 à 1 320,EURO VI,50,"3,8",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
58754,Audi,A3,8V,2012,2016,Cabriolé,2.0 TDI MT quattro (150 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1615,,320,320,425,2040,,Diesel,1968,150,de 3 500 à 4 000,340,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,tracción en las cuatro ruedas,"10,9",6,Diesel,220,"5,8","4,8","8,8",de 860 à 1 190,EURO VI,50,"4,2",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
58753,Audi,A3,8V,2012,2016,Cabriolé,2.0 TDI S tronic (150 CV),Cabriolet,4,4421,1793,1409,2595,1555,1526,,685,,,1555,,320,320,425,1980,3760,Diesel,1968,150,de 3 500 à 4 000,340,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Robot,Frente,"10,9",7,Diesel,224,"5,4","4,6","8,8",de 930 à 1 190,EURO VI,50,"4,2",Discos,Discos,"Independiente, Puntal MacPherson, Barra estabilizadora",la primavera,
25330,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.2 TFSI MT (105 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1225,,365,365,485,1710,3210,Gasolina,1197,105,à 5 000,175,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Mecánica,Frente,"10,7",6,95,193,"5,9","4,9","10,3",de 850 à 1 140,EURO V,50,"4,4",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Barra de torsión, la primavera",
25329,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.2 TFSI S tronic (105 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1245,,365,365,485,1730,3230,Gasolina,1197,105,à 5 000,175,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Robot,Frente,"10,7",7,95,193,"5,8","4,9","10,3",de 860 à 1 160,EURO V,50,"4,3",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Barra de torsión, la primavera",
25333,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.4 TFSI MT (122 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,686,,,1250,,365,365,485,1735,3335,Gasolina,1395,122,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Mecánica,Frente,"10,7",6,95,203,"6,5","5,2","9,3",de 770 à 1 140,EURO V,50,"4,4",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25331,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.4 TFSI S tronic (122 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1270,,365,365,485,1755,3385,Gasolina,1395,122,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Robot,Frente,"10,7",7,95,203,"6,9","6,1","9,2",de 720 à 1 190,EURO V,50,"4,2",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, la primavera, Barra estabilizadora",
25336,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.6 TDI MT (105 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1305,,1100,365,,1790,,Diesel,1598,105,à 4 000,250,Common Rail,Inline,4,Turbo,,,4,à 2 750,hay,Mecánica,Frente,"10,7",6,Diesel,195,"4,6","3,8","8,6",de 1 090 à 1 520,EURO V,50,"3,3",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25335,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.6 TDI S tronic (105 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1325,,1100,365,,1810,,Diesel,1598,105,à 4 000,250,Common Rail,Inline,4,Turbo,,,4,à 2 750,hay,Robot,Frente,"10,7",7,Diesel,195,"4,8","3,9","10,7",de 1 040 à 1 470,EURO V,50,"3,4",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25339,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.8 TFSI  S tronic (180 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1325,,365,365,485,1810,3610,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Robot,Frente,"10,7",7,95,232,7,"5,6","7,2",de 710 à 1 040,EURO V,50,"4,8",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, la primavera, Barra estabilizadora",
25338,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.8 TFSI  S tronic quattro (180 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1425,,365,365,485,1910,3710,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Robot,tracción en las cuatro ruedas,"10,7",6,95,228,"8,2","6,6","6,7",de 610 à 890,EURO V,50,"5,6",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, la primavera, Barra estabilizadora",
25340,Audi,A3,8V,2012,2016,Hatchback 3-puertas,1.8 TFSI MT (180 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1305,,365,365,485,1790,3580,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Mecánica,Frente,"10,7",6,95,235,"7,4","5,8","7,1",de 680 à 1 020,EURO VI,50,"4,9",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, la primavera, Barra estabilizadora",
25344,Audi,A3,8V,2012,2016,Hatchback 3-puertas,2.0 TDI MT (150 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1355,,1100,365,,1840,,Diesel,1968,150,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,Frente,"10,7",6,Diesel,216,"4,9","4,1","8,6",de 1 020 à 1 390,EURO V,50,"3,6",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25346,Audi,A3,8V,2012,2016,Hatchback 3-puertas,2.0 TDI MT (184 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1365,,1100,365,,1850,,Diesel,1968,184,de 3 500 à 4 000,380,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 250,hay,Mecánica,Frente,"10,7",6,Diesel,234,"5,2","4,1","7,3",de 960 à 1 390,EURO V,50,"3,6",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25345,Audi,A3,8V,2012,2016,Hatchback 3-puertas,2.0 TDI MT quattro (150 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1360,,1100,365,,1920,,Diesel,1968,150,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,tracción en las cuatro ruedas,"10,7",6,Diesel,216,"5,6","4,7","8,6",de 890 à 1 220,EURO V,50,"4,1",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
25341,Audi,A3,8V,2012,2016,Hatchback 3-puertas,2.0 TDI S tronic (143 CV),Hatchback,5,4237,1777,1421,2601,1542,1514,,686,,,1370,,365,365,485,1855,3655,Diesel,1968,143,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Robot,Frente,"10,7",6,Diesel,213,"5,2","4,4","8,3",de 960 à 1 250,,50,4,Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Independiente, multi-link, la primavera, Barra estabilizadora",
25343,Audi,A3,8V,2012,2016,Hatchback 3-puertas,2.0 TDI S tronic quattro (184 CV),Hatchback,5,4237,1966,1421,2601,1542,1514,,,,,1470,,1100,365,,1955,,Diesel,1968,184,de 3 500 à 4 000,380,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 250,hay,Robot,tracción en las cuatro ruedas,"10,7",6,Diesel,230,"5,6","4,8","6,8",de 890 à 1 160,EURO V,50,"4,3",Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson, Barra estabilizadora","Independiente, multi-link, Barra estabilizadora",
58760,Audi,A3,8V,2012,2016,Sedan,1.4 TFSI MT (125 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1280,,880,425,475,1785,3385,Gasolina,1395,125,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Mecánica,Frente,11,6,95,212,"6,6","5,1","9,4",de 760 à 1 160,EURO V,50,"4,3",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25316,Audi,A3,8V,2012,2016,Sedan,1.4 TFSI MT (140 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1315,,880,425,475,1790,3500,Gasolina,1395,140,à 5 000,250,La inyección directa,Inline,4,Turbo,,,4,de 1 500 à 3 500,hay,Mecánica,Frente,11,6,95,219,"5,9","4,8","8,4",de 850 à 1 190,EURO VI,50,"4,2",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
58758,Audi,A3,8V,2012,2016,Sedan,1.4 TFSI S tronic (125 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1310,,880,425,475,1785,3385,Gasolina,1395,125,de 5 000 à 6 000,200,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Robot,Frente,11,7,95,211,"6,1","4,9","9,3",de 820 à 1 190,EURO V,50,"4,2",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25313,Audi,A3,8V,2012,2016,Sedan,1.4 TFSI S tronic (140 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1325,,880,425,475,1800,3500,Gasolina,1395,140,à 5 000,250,La inyección directa,Inline,4,Turbo,,,4,de 1 500 à 3 500,hay,Robot,Frente,11,7,95,217,"5,9","4,7","8,4",de 850 à 1 220,EURO VI,50,"4,1",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25319,Audi,A3,8V,2012,2016,Sedan,1.6 TDI MT (105 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1350,,880,425,,1825,,Diesel,1598,105,à 4 000,250,Common Rail,Inline,4,Turbo,,,4,à 2 500,hay,Mecánica,Frente,11,6,Diesel,198,"4,6","3,8","10,9",de 1 090 à 1 520,EURO V,50,"3,3",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25318,Audi,A3,8V,2012,2016,Sedan,1.6 TDI S tronic (105 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1365,,880,425,,1840,,Diesel,1598,105,à 4 000,250,Common Rail,Inline,4,Turbo,,,4,à 2 500,hay,Robot,Frente,11,7,Diesel,198,"4,8","3,9","10,9",de 1 040 à 1 470,EURO V,50,"3,4",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25322,Audi,A3,8V,2012,2016,Sedan,1.8 TFSI MT (180 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1345,,880,425,475,1820,3620,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Mecánica,Frente,11,6,95,242,"7,4","5,8","7,2",de 680 à 1 020,EURO VI,50,"4,9",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25320,Audi,A3,8V,2012,2016,Sedan,1.8 TFSI S tronic (180 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1370,,880,425,475,1845,3645,Gasolina,1798,180,de 5 100 à 6 200,250,La inyección directa,Inline,4,Turbo,,,4,de 1 250 à 5 000,hay,Robot,Frente,11,7,95,235,7,"5,6","7,3",de 710 à 1 040,EURO VI,50,"4,8",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25321,Audi,A3,8V,2012,2016,Sedan,1.8 TFSI S tronic quattro (180 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1470,,390,390,575,1945,3745,Gasolina,1798,180,de 5 100 à 6 200,280,La inyección directa,Inline,4,Turbo,,,4,de 1 350 à 4 500,hay,Robot,tracción en las cuatro ruedas,11,7,95,235,"8,2","6,6","6,8",de 670 à 980,EURO VI,55,"5,6",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25326,Audi,A3,8V,2012,2016,Sedan,2.0 TDI MT (150 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1390,,880,425,475,1865,3665,Diesel,1968,150,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,Frente,11,6,Diesel,220,"5,2","4,1","8,7",de 960 à 1 430,EURO V,50,"3,5",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25328,Audi,A3,8V,2012,2016,Sedan,2.0 TDI MT (184 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,,,,1395,,880,425,475,1870,,Diesel,1968,184,de 3 500 à 4 000,380,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,Frente,11,6,Diesel,241,5,"4,1","7,4",de 1 000 à 1 390,EURO V,50,"3,6",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25327,Audi,A3,8V,2012,2016,Sedan,2.0 TDI MT quattro (150 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,,,,1457,,880,425,,1950,,Diesel,1968,150,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Mecánica,tracción en las cuatro ruedas,11,6,Diesel,224,"5,9","4,7","8,5",de 850 à 1 250,EURO V,50,4,Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25323,Audi,A3,8V,2012,2016,Sedan,2.0 TDI S tronic (143 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,688,,,1415,,880,425,475,1890,3690,Diesel,1968,143,de 3 500 à 4 000,320,Common Rail,Inline,4,Turbo,,,4,de 1 750 à 3 000,hay,Robot,Frente,11,6,Diesel,219,"5,5","4,5","8,4",de 910 à 1 280,EURO V,50,"3,9",Discos ventilados,Discos,"Independiente, Puntal MacPherson","multi-link, Amortiguadores, la primavera",
25317,Audi,A3,8V,2012,2016,Sedan,2.0 TDI S-tronic (150 CV),Sedán,5,4456,1796,1416,2637,1555,1526,,,,,1395,,880,425,,1890,,Diesel,1968,150,de 3 500 à 4 000,340,La inyección directa,Inline,4,Turbo,,,4,de 1 750 à 3 000,,Robot,Frente,11,6,Diesel,224,"5,2","4,4","8,4",de 960 à 1 250,EURO V,50,4,Discos ventilados,Discos ventilados,"Independiente, Puntal MacPherson","Independiente, multi-link",
25295,Audi,A3,8V,2012,2016,Sportback hatchback 5-puertas,1.2 TFSI MT (105 CV),Hatchback,5,4310,1785,1425,2636,1535,1506,,677,,,1255,,380,380,485,1740,3240,Gasolina,1197,105,à 5 000,175,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,hay,Mecánica,Frente,"10,9",6,95,193,"5,9","4,9","10,5",de 850 à 1 140,EURO V,50,"4,4",Discos ventilados,Discos,"Independiente, Puntal MacPherson, Amortiguadores, la primavera, Barra estabilizadora","Barra de torsión, la primavera",
176674,Audi,A3,8V,2012,2016,Sportback hatchback 5-puertas,1.2 TFSI MT (110 CV),Hatchback,5,4310,1785,1425,2636,1535,1506,,,,,1255,,1220,380,,1740,,Gasolina,1197,110,de 4 600 à 5 600,175,La inyección directa,Inline,4,Turbo,,,4,de 1 400 à 4 000,,Mecánica,Frente,"10,9",6,95,198,"6,3",5,"10,1",de 790 à 1 160,EURO VI,50,"4,3",Discos ventilados,Discos,"Independiente, Puntal MacPherson","Independiente, multi-link",
